Province,1/4/21,2/4/21,3/4/21,4/4/21,5/4/21,6/4/21,7/4/21,8/4/21,9/4/21,10/4/21,11/4/21,12/4/21,13/4/21,14/4/21,15/4/21,16/4/21,17/4/21,18/4/21,19/4/21,20/4/21,21/4/21,22/4/21,23/4/21,24/4/21,25/4/21,26/4/21,27/4/21,28/4/21,29/4/21,30/4/21,1/5/21,2/5/21,3/5/21,4/5/21,5/5/21,6/5/21,7/5/21,8/5/21,9/5/21,10/5/21,11/5/21,12/5/21,13/5/21,14/5/21,15/5/21,16/5/21,17/5/21,18/5/21,19/5/21,20/5/21,21/5/21,22/5/21,23/5/21,24/5/21,25/5/21,26/5/21,27/5/21,28/5/21,29/5/21,30/5/21,31/5/21,1/6/21,Total
สระบุรี,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,23.0,4.0,3.0,3.0,7.0,3.0,7.0,3.0,1.0,3.0,5.0,8.0,9.0,5.0,11.0,6.0,7.0,5.0,8.0,21.0,2.0,13.0,5.0,7.0,11.0,10.0,12.0,5.0,14.0,1.0,6.0,18.0,5.0,16.0,7.0,5.0,3.0,3.0,13.0,10.0,13.0,9.0,9.0,12.0,3.0,16.0,3.0,21.0,9.0,15.0,327.0,83.0,833.0
ราชบุรี,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,7.0,12.0,14.0,13.0,12.0,14.0,12.0,5.0,8.0,12.0,21.0,17.0,16.0,18.0,22.0,19.0,11.0,15.0,20.0,9.0,11.0,7.0,8.0,20.0,12.0,15.0,16.0,14.0,20.0,15.0,19.0,16.0,7.0,18.0,24.0,27.0,13.0,12.0,20.0,18.0,29.0,29.0,22.0,25.0,6.0,8.0,6.0,8.0,12.0,26.0,3.0,774.0
ตรัง,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,6.0,0.0,5.0,1.0,1.0,0.0,5.0,7.0,14.0,3.0,9.0,8.0,6.0,27.0,4.0,33.0,35.0,14.0,22.0,9.0,12.0,8.0,10.0,4.0,8.0,8.0,1.0,5.0,3.0,2.0,1.0,1.0,8.0,10.0,12.0,9.0,6.0,4.0,3.0,1.0,3.0,0.0,10.0,37.0,44.0,76.0,164.0,665.0
ภูเก็ต,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,4.0,29.0,16.0,8.0,26.0,14.0,30.0,24.0,25.0,18.0,20.0,18.0,9.0,22.0,11.0,22.0,21.0,13.0,13.0,13.0,17.0,12.0,20.0,15.0,25.0,12.0,18.0,5.0,10.0,12.0,10.0,8.0,18.0,19.0,12.0,11.0,4.0,2.0,4.0,2.0,0.0,3.0,4.0,4.0,6.0,4.0,5.0,6.0,2.0,3.0,3.0,8.0,4.0,654.0
เชียงราย,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,6.0,10.0,0.0,0.0,0.0,77.0,17.0,17.0,17.0,17.0,21.0,16.0,17.0,19.0,34.0,19.0,7.0,20.0,11.0,26.0,8.0,23.0,14.0,26.0,3.0,17.0,3.0,7.0,5.0,11.0,9.0,8.0,6.0,1.0,1.0,6.0,4.0,17.0,6.0,10.0,4.0,6.0,7.0,4.0,4.0,5.0,45.0,3.0,4.0,6.0,2.0,1.0,640.0
สระแก้ว,0.0,0.0,0.0,0.0,1.0,2.0,20.0,14.0,16.0,11.0,12.0,18.0,11.0,21.0,17.0,15.0,4.0,10.0,18.0,7.0,12.0,11.0,12.0,17.0,27.0,11.0,11.0,6.0,14.0,11.0,9.0,6.0,10.0,2.0,6.0,7.0,10.0,11.0,13.0,18.0,9.0,7.0,5.0,2.0,6.0,22.0,5.0,3.0,4.0,6.0,4.0,6.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,1.0,514.0
ขอนแก่น,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,6.0,5.0,6.0,9.0,12.0,18.0,18.0,8.0,12.0,10.0,20.0,19.0,14.0,12.0,13.0,31.0,26.0,11.0,8.0,19.0,32.0,17.0,14.0,14.0,21.0,2.0,21.0,6.0,2.0,5.0,6.0,3.0,1.0,1.0,6.0,6.0,7.0,15.0,4.0,0.0,9.0,0.0,5.0,4.0,0.0,0.0,3.0,2.0,3.0,3.0,15.0,1.0,0.0,1.0,513.0
อุดรธานี,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,10.0,1.0,6.0,10.0,0.0,32.0,17.0,11.0,30.0,15.0,23.0,16.0,16.0,25.0,28.0,20.0,21.0,19.0,6.0,14.0,12.0,6.0,9.0,4.0,9.0,3.0,0.0,1.0,4.0,5.0,4.0,1.0,7.0,6.0,2.0,2.0,3.0,4.0,3.0,12.0,15.0,4.0,2.0,1.0,1.0,2.0,5.0,3.0,10.0,6.0,5.0,5.0,2.0,1.0,488.0
นครสวรรค์,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,3.0,3.0,36.0,1.0,16.0,52.0,10.0,1.0,0.0,29.0,4.0,38.0,24.0,9.0,17.0,14.0,29.0,25.0,20.0,14.0,7.0,11.0,6.0,7.0,8.0,6.0,11.0,4.0,5.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,7.0,10.0,477.0
พัทลุง,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,10.0,13.0,19.0,6.0,10.0,14.0,14.0,11.0,7.0,19.0,10.0,25.0,25.0,30.0,43.0,28.0,18.0,18.0,6.0,12.0,4.0,7.0,0.0,6.0,5.0,6.0,9.0,4.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,1.0,0.0,0.0,1.0,415.0
